question_id,question,choices,answerKey,statements,isRelevant
,,,,"People often eat in restaurants for special occasions, like anniversaries or celebrations.",
,,,,"Restaurants provide a variety of food options, from casual fast food to fine dining.",TRUE
,,,,"When you eat in a restaurant, you might need to wait for a table, especially if it's busy.",
,,,,The cost of eating in a restaurant is typically higher than cooking at home due to service and ambiance.,TRUE
,,,,It's common to tip the server for good service when eating in a restaurant.,
,,,,"Restaurants often have a specific atmosphere, such as casual, romantic, or family-friendly, influencing your dining experience.",
,,,,People might eat in a restaurant to try new cuisines or dishes they don't make at home.,TRUE
,,,,"In a restaurant, you usually pay for the food after you’ve finished eating, either at the table or at a register.",
,,,,"Eating in a restaurant can be a social activity, where people enjoy conversation and spend time together over a meal.",
,,make bread,,"To make bread, you need flour as the primary ingredient.",
,,,,Yeast is essential for the dough to rise and become light and airy.,
,,,,Bread dough requires kneading to develop its texture.,
,,,,Water is mixed with flour and yeast to form the dough.,
,,,,"After mixing, the dough needs to rest for a period of time to allow the yeast to ferment.",
,,,,The oven temperature needs to be preheated before baking bread.,
,,,,Baking bread requires careful timing to ensure it's neither undercooked nor overcooked.,
,,,,"Different types of bread require different ratios of ingredients (e.g., whole wheat vs. white bread).",
,,,,Bread is usually cooled after baking to make it easier to slice.,
,,,,The smell of freshly baked bread is often considered inviting and comforting.,
,,have lunch,,"Lunch is typically eaten in the middle of the day, between breakfast and dinner.",
,,,,"A variety of foods, such as sandwiches, salads, or hot dishes, can be eaten for lunch.",
,,,,"People usually have lunch at work, school, or home, depending on their schedule.",TRUE
,,,,"Lunch can be a quick meal or a more leisurely one, depending on available time.",
,,,,"Some people prefer to eat lunch with others, while others might eat alone.",
,,,,"It’s common to drink a beverage like water, juice, or soda with lunch.",
,,,,Lunch should provide enough energy to last through the afternoon until dinner.,
,,,,"Many people eat lunch at a specific time each day, like noon or 1 p.m.",
,,,,"Having a balanced lunch with proteins, vegetables, and grains is often considered healthy.",
,,,,Lunch breaks are a common time for people to relax and take a break from work or other responsibilities.,
,,cook dinner,,Cooking dinner typically involves preparing a main dish along with side items like vegetables or rice.,
,,,,You need a recipe or some idea of what you want to cook before starting dinner.,
,,,,Ingredients for dinner should be fresh or stored properly to avoid spoilage.,
,,,,"It’s common to use a stove, oven, or microwave to cook dinner depending on the recipe.",
,,,,"You may need to chop, peel, or season ingredients before cooking.",
,,,,Cooking dinner requires paying attention to cooking times to avoid burning or undercooking food.,
,,,,Many people prefer to cook dinner in batches so they can have leftovers for later.,
,,,,"Clean pots, pans, and utensils are necessary to prepare dinner efficiently.",
,,,,Setting the table and plating the food is part of serving dinner.,
,,,,"It’s important to consider dietary preferences or restrictions (e.g., vegetarian, gluten-free) when cooking dinner.",
,,friends house,,"When visiting a friend’s house, it’s polite to knock or ring the doorbell before entering.",
,,,,"You may bring a gift or something to share, like snacks, as a kind gesture when visiting.",
,,,,"At a friend’s house, it’s common to chat and catch up on each other's lives.",
,,,,Friends often offer drinks or food when you arrive at their house.,TRUE
,,,,"You might be asked to take off your shoes when entering a friend's home, depending on their household rules.",
,,,,"A friend’s house is a place where you can relax, hang out, and have fun together.",
,,,,It’s important to respect the privacy and personal space of your friend when in their home.,
,,,,"Friends may invite you to participate in activities like watching a movie, playing games, or cooking together.",
,,,,You should be considerate of your friend's belongings and not break or damage anything.,
